subject,relation,object
Proposal 289,Proposer,0xae65e700f3f8904ac1007d47a5309dd26f8146c0
Proposal 289,quorumVotes,70
Proposal 289,Status,PENDING
Proposal 289,Proposal,retain nounish for 6 months ⌐◨-◨
retain nounish for 6 months ⌐◨-◨,Proposal Summary,"The proposal is for continued funding of Nounish, a full-time video production agency working on nouns. In season 1, they produced 92 minutes of high-quality video content, got 3 million views on their channels, and 750k"
Proposal 289,Proposal Budget,1 ETH
Proposal 289,Proposal Deadline,6 months
Proposal 289,Team,"The team being described is a video production agency called ""Nounish"""
Proposal 289,Previous Proposal,Proposal 143
Proposal 289,Transfer To,0x4f2acdc74f6941390d9b1804fabc3e780388cfe5
Proposal 289,Transfer Value,563702321517344647047
Proposal 289,Voted By,0
Proposal 289,Opposed By,0
Proposal 288,Proposer,0x49a5aeec7d9ac70990404278e93031e4c3c71875
Proposal 288,quorumVotes,70
Proposal 288,Status,PENDING
Proposal 288,Proposal,100 Nounish Things: a nounish droposal ⌐◨-◨
100 Nounish Things: a nounish droposal ⌐◨-◨,Proposal Summary,"The text describes the release of a music video called ""100 Nounish Things"" that celebrates the achievements of nouns in the past year and a half. The video showcases various projects and items that were funded by the Nouns DAO, including agora,"
Proposal 288,Proposal Budget,0 ETH
Proposal 288,Proposal Deadline,2023-06-03 00:00:00
Proposal 288,Team,"The team mentioned in this context is ""nounish ⌐-""."
Proposal 288,Voted By,0
Proposal 288,Opposed By,0
Proposal 287,Proposer,0x008c84421da5527f462886cec43d2717b686a7e4
Proposal 287,quorumVotes,70
Proposal 287,Status,PENDING
Proposal 287,Proposal,NOUNISH FRIENDS mini-figures
NOUNISH FRIENDS mini-figures,Proposal Summary,"The Nounish Friends Mini-Figures project aims to create a collection of colorful 3"" tall modular figures that are meant to serve as an entry point into the world of ""nouns."" The figures have interchangeable heads and glasses, which create"
Proposal 287,Proposal Budget,"USD 125,000"
Proposal 287,Team,"The team behind this project is Bigshot Toyworks, a company that has"
Proposal 287,Previous Proposal,Proposal 141
"The team behind this project is Bigshot Toyworks, a company that has",Team Size,6
Proposal 287,Voted By,0
Proposal 287,Opposed By,0
Proposal 286,Proposer,0x43e3ab994070db606042e8deffd146300cb52919
Proposal 286,quorumVotes,70
Proposal 286,Status,PENDING
Proposal 286,Proposal,Nouns Wet Wipes V2 - Vote for your favourite Design!!!
Nouns Wet Wipes V2 - Vote for your favourite Design!!!,Proposal Summary,"This is a proposal for the creation of branded wet wipes by Nouns, which would be sold at retail outlets to increase brand awareness. The proposal includes goals, details, marketing considerations, design considerations, and team remuneration. The team is asking"
Proposal 286,Proposal Budget,"USD 31,450"
Proposal 286,Proposal Deadline,3 months
Proposal 286,Team,"The team is proposing to create branded wet wipes under the name ""Nouns"
Proposal 286,Transfer To,0xd895eec6767970660a846423a409e83454e9ea95
Proposal 286,Transfer Value,2000000000000000000
Proposal 286,Voted By,0
Proposal 286,Opposed By,0
Proposal 285,Proposer,0x67a690caf73ae9381d09be6f1ce584bbe49d788a
Proposal 285,quorumVotes,70
Proposal 285,Status,PENDING
Proposal 285,Proposal,🇧🇷 NFT.Brasil - Taking Over São Paulo and Celebrating the Brazilian Community
🇧🇷 NFT.Brasil - Taking Over São Paulo and Celebrating the Brazilian Community,Proposal Summary,"NFT.Brasil is a conference that celebrates the advancements and possibilities of the NFT world, set to take place in Sao Paulo, Brazil on June 2nd-4th, 2023. The event aims to achieve a massive on"
Proposal 285,Proposal Budget,"USD 90,000"
Proposal 285,Proposal Deadline,9 months
Proposal 285,Team,The team behind nft.brasil is described as leading the NFT
Proposal 285,Voted By,0
Proposal 285,Opposed By,0
Proposal 284,Proposer,0x9ae8912ea6562957043c8d048641aa9b450c397f
Proposal 284,quorumVotes,96
Proposal 284,Status,ACTIVE
Proposal 284,Proposal,Let’s Throw a Global Pizza Party! Nouns x PizzaDAO
Let’s Throw a Global Pizza Party! Nouns x PizzaDAO,Proposal Summary,"The proposal requests funding of $42,000 to support Pizzadao's third global pizza party for Bitcoin Pizza Day on May 22, 2023. The funds will be used to purchase pizza from independent pizzerias all over the world"
Proposal 284,Proposal Budget,"USD 42,000"
