subject,relation,object
0x05b866ba6629958f8eac95b829e08778b06086b0,Transfer Value,118.69 ETH
0x0d51044ff95c4e3bf77e2e08a8ba398646bdb609,Transfer Value,99.0 ETH
0x3200a7c6467f66734b1de7ac2daa4365cfdbccf8,Transfer Value,30.0 ETH
0x3a5fb987b475985dc41c455840ea0a1f1717e4c4,Transfer Value,0.69 ETH
0x442e218bb1fdc5450be14e200d225b39ce644e4a,Transfer Value,120.0 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,608.26 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,413.24 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,101.66 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,563.7 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,7.56 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,116.98 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,131.87 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,577.35 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,144.33 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,149.74 ETH
0x4f2acdc74f6941390d9b1804fabc3e780388cfe5,Transfer Value,93.52 ETH
0x55a4e5123f8923500ff7aa97e75231a54a9c233a,Transfer Value,40.0 ETH
0x6f3e6272a167e8accb32072d08e0957f9c79223d,Setproposalthresholdbps Value,30bps
0x6f3e6272a167e8accb32072d08e0957f9c79223d,Setproposalthresholdbps Value,9bps
0x6f3e6272a167e8accb32072d08e0957f9c79223d,Transfer Value,15.0 ETH
0x716ede25d72f360d28b8139735532bc9f7ec7ee1,Transfer Value,75.0 ETH
0x93d94557824ac07a30b5b0f44f7cb3e00f9c4191,Transfer Value,200.0 ETH
0x95852813766e4a3112891fe6a47100023d61e5a4,Transfer Value,3268.0 ETH
0xb0750df14fe7cf5b7a99df2243e0b873d1691204,Transfer Value,16.0 ETH
0xd895eec6767970660a846423a409e83454e9ea95,Transfer Value,2.0 ETH
0xd97bcd9f47cee35c0a9ec1dc40c1269afc9e8e1d,Sendorregisterdebt Value To Nouns,202761
