subject,relation,object,weight
Proposal 214,Supported By,0x0055cd5f017027d10adf4f13332181e6d8d886bb-214,1.0
Proposal 214,Supported By,0x008c84421da5527f462886cec43d2717b686a7e4-214,28.0
Proposal 214,Supported By,0x0b3cf56e7df3bb3fb7201ffcd96d279b05ddd2e3-214,1.0
Proposal 214,Supported By,0x0c66d954d9cb1ebdf4e37a000262323c83655e70-214,4.0
Proposal 214,Supported By,0x10ec976c862a0e48c932fb53b5c542b5cbb13cf1-214,1.0
Proposal 214,Supported By,0x13eef4ef8fca471f242ab0f8f49a3db6017ada33-214,1.0
Proposal 214,Supported By,0x168cd7082a30c89af33d253bb0b27ed62b3e04a3-214,1.0
Proposal 214,Supported By,0x17a01db837345772f2e65adf2fb4f4de10ac1b72-214,1.0
Proposal 214,Supported By,0x17ae58ab79444ad5b8ee2e232caf13c65c32af75-214,1.0
Proposal 214,Supported By,0x19cc9d48f2032f3ec8d6f60ea84979169a848231-214,2.0
Proposal 214,Supported By,0x1d3bc1f9d3f9770453949abd619592cd7583c5ed-214,2.0
Proposal 214,Supported By,0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683-214,2.0
Proposal 214,Supported By,0x2cc36e2740f9e1023ce3e8048a72a86af27cee14-214,0.0
Proposal 214,Opposed By,0x36a5bc205df1ed65c86301022cfc343a6ce546ff-214,2.0
Proposal 214,Supported By,0x3b502b054715a8e0d8f657169615a88b2ccdd429-214,2.0
Proposal 214,Supported By,0x55b0a25d697647281553a177321dad0a0bf9a148-214,1.0
Proposal 214,Supported By,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e-214,23.0
Proposal 214,Supported By,0x5ca6a2e5f53a48616d4ead87ff6034fc032d4722-214,1.0
Proposal 214,Opposed By,0x60232134f0a9177e5248bc44fc95c2c5efef8e1a-214,1.0
Proposal 214,Supported By,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b-214,11.0
Proposal 214,Supported By,0x70ece45cdc64a768f936ccb8ac851578251363e3-214,1.0
Proposal 214,Supported By,0x75ee6eb3d8dacf41ee2e5307090b197d3e1cca6e-214,22.0
Proposal 214,Supported By,0x7c1282a7621f0e2f6169e151628552a8b8a57b2d-214,3.0
Proposal 214,Opposed By,0x8321795bdace7428d4fadfa30c2ee8e727e491e5-214,2.0
Proposal 214,Supported By,0x8ae80e0b44205904be18869240c2ec62d2342785-214,2.0
Proposal 214,Supported By,0x91dccaa260cc4616e1a6e6b693db7207c5e42937-214,3.0
Proposal 214,Supported By,0xa555d1ee16780b2d414ed97f4f169c0740099615-214,2.0
Proposal 214,Opposed By,0xa5d7e4c18d223d1f142297d17e36d74ce7793a54-214,0.0
Proposal 214,Supported By,0xa86882277e69fbf0a51805cdc8b0a3a113079e63-214,2.0
Proposal 214,Supported By,0xa903c06bf35286f6d1cdad25396748353979a44c-214,2.0
Proposal 214,Supported By,0xadfbcde3352965c23dfb79e8bdf92bd43dc20468-214,1.0
Proposal 214,Supported By,0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1-214,2.0
Proposal 214,Supported By,0xb4496906d6ea2685e7a46a14baefae9fe3bf0d2f-214,1.0
